sequence,language,source_relative_path,source_sha256,package_tex,package_tex_sha256,package_pdf,package_pdf_sha256,pages,pdf_bytes,duration_seconds,resumed,latex_warning,package_warning,missing_character,overfull_box,underfull_box
1,latin,paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex,94B7533CFA0F30F0197FA9622C7289A4AA563999FFDDA9D10C479866D7F4F478,02_tex/latin/001_Noether_Paper01_Interslavic_v001.tex,94B7533CFA0F30F0197FA9622C7289A4AA563999FFDDA9D10C479866D7F4F478,01_unit_pdfs/latin/001_Noether_Paper01_Interslavic_v001.pdf,5351A1A3AB708E24EF6320B8CF2B2B6B99497E381EE16FFA9CEF84449A56BE27,3,107555,0,True,0,0,0,0,0
2,latin,paper02/interslavic/v001/Noether_Paper02_Introduction_Interslavic_v001.tex,D4EBD958552D375AACD91F5E92941B0FD98E34B1992B16EAB5FD953AD0946C7C,02_tex/latin/002_Noether_Paper02_Introduction_Interslavic_v001.tex,D4EBD958552D375AACD91F5E92941B0FD98E34B1992B16EAB5FD953AD0946C7C,01_unit_pdfs/latin/002_Noether_Paper02_Introduction_Interslavic_v001.pdf,3C1E2DC8FFAF67C36E24BC46CAA6330B3D64EE7583A5DD6F2B81B9A4E9584820,2,106010,0,True,0,0,0,0,0
3,latin,paper02/interslavic/v001/Noether_Paper02_Section01_Interslavic_v001.tex,393F295537ABA3C5683438CD3F9936AE88B8271D944F7B833D5C1F43924900C2,02_tex/latin/003_Noether_Paper02_Section01_Interslavic_v001.tex,393F295537ABA3C5683438CD3F9936AE88B8271D944F7B833D5C1F43924900C2,01_unit_pdfs/latin/003_Noether_Paper02_Section01_Interslavic_v001.pdf,85A52AAED668AEED7A0BB8F703F97A3930435DAF84CF33217AECCB08DD612C3E,2,100414,0,True,0,0,0,0,0
4,latin,paper02/interslavic/v001/Noether_Paper02_Section02_Interslavic_v001.tex,AF6E7C4F4E44E8016C1E63C958CD3F543AF7BAC3A3F37450A1AA15635636B801,02_tex/latin/004_Noether_Paper02_Section02_Interslavic_v001.tex,AF6E7C4F4E44E8016C1E63C958CD3F543AF7BAC3A3F37450A1AA15635636B801,01_unit_pdfs/latin/004_Noether_Paper02_Section02_Interslavic_v001.pdf,2B4793155CED657F39EEA695DCEA410D1A22F08D73DB4637ED2AB4EB28F96E48,2,106545,0,True,0,0,0,0,0
5,latin,paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex,A36275222B056854F2A2488BCDF0B823A8E7DE9A24C8836456EDD48F6A84C222,02_tex/latin/005_Noether_Paper02_Section03_Interslavic_v001.tex,A36275222B056854F2A2488BCDF0B823A8E7DE9A24C8836456EDD48F6A84C222,01_unit_pdfs/latin/005_Noether_Paper02_Section03_Interslavic_v001.pdf,2E4F6563E15DBECF487E36D4F02615B31242DDE033A8AF487642CDB09DC83325,3,107634,0,True,0,0,0,0,0
6,latin,paper02/interslavic/v001/Noether_Paper02_Section05_Interslavic_v001.tex,5A63CC75BBB84E097916A6E1002E88D439F3832CB750E8B9CB9DD31EBF3E8735,02_tex/latin/006_Noether_Paper02_Section05_Interslavic_v001.tex,5A63CC75BBB84E097916A6E1002E88D439F3832CB750E8B9CB9DD31EBF3E8735,01_unit_pdfs/latin/006_Noether_Paper02_Section05_Interslavic_v001.pdf,6626E7F8C6B1E149044B0F903C94FF7F4145A837F077FAE34F86A985A8E1BFB6,3,98586,0,True,0,0,0,0,0
7,latin,paper02/interslavic/v001/Noether_Paper02_Section06_Interslavic_v001.tex,42FA23A1D8C0B5DA4F173A86B7932FAD7D3CEE65C78FAF5DC6296EFA8759DC0F,02_tex/latin/007_Noether_Paper02_Section06_Interslavic_v001.tex,42FA23A1D8C0B5DA4F173A86B7932FAD7D3CEE65C78FAF5DC6296EFA8759DC0F,01_unit_pdfs/latin/007_Noether_Paper02_Section06_Interslavic_v001.pdf,DDC0F976595430F9F8FE0A9E0256A61B06EB3C561CA03CCB3D1A8D0797D822E6,3,81276,0,True,0,0,0,0,0
8,latin,paper02/interslavic/v001/Noether_Paper02_Section07_Interslavic_v001.tex,E0FC879E68A9351120ECAEBA06285198845BC70089E3BEDC0984731F2AD59D6C,02_tex/latin/008_Noether_Paper02_Section07_Interslavic_v001.tex,E0FC879E68A9351120ECAEBA06285198845BC70089E3BEDC0984731F2AD59D6C,01_unit_pdfs/latin/008_Noether_Paper02_Section07_Interslavic_v001.pdf,BCA35E7D70D400C95DF62364145FFB46F0263804F64FDA36EF71299191CBA82F,2,77169,0,True,0,0,0,0,0
9,latin,paper02/interslavic/v001/Noether_Paper02_Section08_Interslavic_v001.tex,21A0D4A33ADDCFACD56F341622DBA59EF6DA7F4764B16953028C511DA99EF60E,02_tex/latin/009_Noether_Paper02_Section08_Interslavic_v001.tex,21A0D4A33ADDCFACD56F341622DBA59EF6DA7F4764B16953028C511DA99EF60E,01_unit_pdfs/latin/009_Noether_Paper02_Section08_Interslavic_v001.pdf,908B4D0EE0794034F65CAEADF1F6ECDE86D50892AD851FF29B8523CE17818F10,1,69064,0,True,0,0,0,0,0
10,latin,paper02/interslavic/v001/Noether_Paper02_Section09_Interslavic_v001.tex,45911BD9BFEA1FDC8174EE53BF5D398CFFA93295D641C97DE4737611BE1ADACD,02_tex/latin/010_Noether_Paper02_Section09_Interslavic_v001.tex,45911BD9BFEA1FDC8174EE53BF5D398CFFA93295D641C97DE4737611BE1ADACD,01_unit_pdfs/latin/010_Noether_Paper02_Section09_Interslavic_v001.pdf,FC130D39F7A8F5FC7481850395021D52B20603DBD19F61F4D8A4AB3674FFEDCA,1,74428,0,True,0,0,0,0,0
