record,filename,class_hint,pages,text_pages,median_body_size,p10_body_size,p90_body_size,page_median_min,page_median_max,page_median_range,page_size_set,likely_scan_or_reference,warnings,bytes
main,10 Reader PDF - Al-Kashi - Miftah al-Hisab.pdf,reader,27,27,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,162231
main,10 Reader PDF - Al-Khwarizmi - Al-Jabr wa-l-Muqabala.pdf,reader,45,32,10.91,10.91,10.91,9.96,11.46,1.5,595x842,False,inconsistent-page-font-size,168015
main,10 Reader PDF - Al-Tusi - Shakl al-Qatta.pdf,reader,13,6,12.0,12.0,12.0,12.0,12.0,0.0,595x842,False,,44545
main,10 Reader PDF - Aryabhata - Aryabhatiya.pdf,reader,22,19,12.55,12.55,12.55,12.55,13.75,1.2,595x842,False,body-font-large,87411
main,10 Reader PDF - Bhaskara II - Bijaganita.pdf,reader,70,64,12.0,10.91,12.55,9.86,13.75,3.89,595x842,False,inconsistent-page-font-size,288337
main,10 Reader PDF - Bhaskara II - Lilavati.pdf,reader,37,14,12.0,10.91,12.0,10.91,12.0,1.09,595x842,False,,68964
main,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Complete Draft.pdf,reader,403,196,10.96,10.91,12.55,9.96,13.75,3.79,595x842,False,inconsistent-page-font-size,25115966
main,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part I.pdf,reader,108,85,10.91,10.91,13.75,9.96,13.75,3.79,595x842,False,inconsistent-page-font-size;wide-font-size-spread,501206
main,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part II.pdf,reader,255,73,10.96,10.91,12.22,10.91,12.55,1.64,595x842,False,inconsistent-page-font-size,24304251
main,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part III.pdf,reader,40,38,11.96,10.91,12.55,9.96,12.55,2.59,595x842,False,inconsistent-page-font-size,311387
main,10 Reader PDF - Cayley - Collected Papers Partial Draft.pdf,reader,2266,2247,10.91,10.91,11.96,4.68,14.35,9.67,441x666; 468x684; 504x720; 540x720; 595x842,False,inconsistent-page-font-size;mixed-page-sizes,15420282
main,10 Reader PDF - Chinese Mathematics - Ceyuan Haijing Detail.pdf,reader,6,6,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1213497
main,10 Reader PDF - Darboux - Lessons on the General Theory of Surfaces.pdf,reader,484,433,11.96,11.94,11.99,11.84,17.22,5.38,595x842,False,inconsistent-page-font-size,2189721
main,10 Reader PDF - Dedekind - Was sind und was sollen die Zahlen.pdf,reader,151,148,11.96,11.96,11.96,11.84,12.07,0.23,595x842,False,,617235
main,10 Reader PDF - Dirichlet - Mathematische Werke.pdf,reader,172,169,11.96,11.96,11.96,10.91,11.96,1.05,595x842,False,,1339982
main,10 Reader PDF - Fricke and Klein - Automorphic Functions Volume II.pdf,reader,24,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,187221
main,10 Reader PDF - Hausdorff - Set Theory.pdf,reader,673,598,11.96,10.91,11.96,8.97,14.35,5.38,482x680; 595x842,False,inconsistent-page-font-size;mixed-page-sizes,3907428
