record_label,record_id,record_title,file_role,filename,size_mb,url
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Al-Kashi - Miftah al-Hisab.pdf,0.1547,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Al-Kashi%20-%20Miftah%20al-Hisab.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Al-Khwarizmi - Al-Jabr wa-l-Muqabala.pdf,0.1602,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Al-Khwarizmi%20-%20Al-Jabr%20wa-l-Muqabala.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Al-Tusi - Shakl al-Qatta.pdf,0.0425,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Al-Tusi%20-%20Shakl%20al-Qatta.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Aryabhata - Aryabhatiya.pdf,0.0834,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Aryabhata%20-%20Aryabhatiya.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Bhaskara II - Bijaganita.pdf,0.2750,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Bhaskara%20II%20-%20Bijaganita.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Bhaskara II - Lilavati.pdf,0.0658,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Bhaskara%20II%20-%20Lilavati.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Complete Draft.pdf,23.9525,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Brahmagupta%20-%20Brahmasphutasiddhanta%20Complete%20Draft.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part I.pdf,0.4780,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Brahmagupta%20-%20Brahmasphutasiddhanta%20Part%20I.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part II.pdf,23.1783,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Brahmagupta%20-%20Brahmasphutasiddhanta%20Part%20II.pdf
main,20459634,Modern LaTeX Editions of Public-Domain Mathematics Manuscripts,reader/reference PDF,10 Reader PDF - Brahmagupta - Brahmasphutasiddhanta Part III.pdf,0.2970,https://zenodo.org/records/20459634/files/10%20Reader%20PDF%20-%20Brahmagupta%20-%20Brahmasphutasiddhanta%20Part%20III.pdf
